from to resistance voltage
1 2 1.1038960648881933 0.44350792525337
2 3 1.8443289090344832 0.8415925213510767
3 4 1.3239340084179316 0.5482552241876882
4 5 1.7069035773767673 0.12167202637133945
5 6 1.2631289498631417 0.4770588049940422
6 7 1.1876806173732528 0.28352914462014767
7 1 1.881229077445758 0.9862804900088367
1 8 1.6993396466509767 0.09783256429974141
1 9 1.1943726154480014 0.5001439764154667
8 9 1.3170665131763708 0.021669589215866814
2 10 1.8034777736697425 0.20779741447394717
2 11 1.887611245560227 0.7757554567822661
10 11 1.5947491361869002 0.8502609223289932
10 9 1.6822429268893093 0.40628188535064613
3 12 1.0035661556327746 0.920800728928871
3 13 1.8310582067030845 0.6550437465568218
12 13 1.839465023824805 0.17902862604556347
12 11 1.8356716702250804 0.2163654931228408
4 14 1.4326203624918268 0.962033879250932
4 15 1.1731353972786995 0.12048195736412737
14 15 1.78117845556327 0.7651120584680718
14 13 1.3760062358152843 0.050410908584026415
5 16 1.4539892312700355 0.9601636514572893
5 17 1.001799457414001 0.8729872887932597
16 17 1.23472970446189 0.32159231491700424
16 15 1.5896370313158286 0.044612647070922495
6 18 1.8811058851729365 0.23754129722291617
6 19 1.0427204764401141 0.8384048639452025
18 19 1.9167671228669585 0.0985638198512897
18 17 1.8723270163034975 0.5318172836655388
7 20 1.0737603923932395 0.3763311471990969
7 21 1.3923493812703804 0.792428607332486
20 21 1.8597990218173408 0.33173996176694065
20 19 1.262968950112058 0.5044874297097052
8 21 1.7373140339319173 0.12478838920205149
